date,location,Master_SKU,Master_Name,Product_Family,Type,revenue,cost,quantity,profit,gross_margin_percent,mapping_tier
2026-01-01,415 Colorado,SKU0081,Cheez it Snack Mix,Cheez-it Snack Mix,Snack - Candy,6.0,2.59,1,3.41,56.8,direct
2026-01-01,The Bowen,SKU0390,Snickers,Snickers,,2.5,1.09,1,1.41,56.4,direct
2026-01-01,The Bowen Freezer,SKU0146,Haagen-Dazs Bars,Haagen-Dazs Bars,Frozen - Ice Cream,3.75,0.86,1,2.89,77.1,direct
2026-01-01,The Bowen Freezer,SKU0351,Twix Ice Cream Bar,Twix Ice Cream Bar,Beverage - Energy,3.25,0.82,1,2.43,74.8,direct
2026-01-01,The Nine at West Campus,SKU0264,Red Bull 12oz,Red Bull 12oz,Frozen - Meal,4.5,2.25,1,2.25,50.0,direct
2026-01-01,The Nine at West Campus,SKU0284,Skittles Sour,Skittles Sour,Frozen - Meal,2.75,1.16,1,1.59,57.8,direct
2026-01-01,The Nine at West Campus,SKU0273,Reese's Peanut Butter Cups,Reese's Peanut Butter Cups,Snack - Chips,2.5,0.94,1,1.56,62.4,direct
2026-01-01,The Nine at West Campus,SKU0264,Red Bull 12oz,Red Bull 12oz,Frozen - Meal,4.5,2.25,1,2.25,50.0,direct
2026-01-01,The Bowen,SKU0022,Bai - Strawberry Coconut,Bai Variety,Beverage - Juice,6.0,1.33,2,3.34,55.7,direct
2026-01-01,The Bowen,SKU0109,Diet Coke 16.9oz,Diet Coke 16.9oz,Snack - Chips,3.0,0.74,1,2.26,75.3,direct
2026-01-01,The Bowen,SKU0113,Dr Pepper 16.9oz,Dr Pepper 16.9oz,Snack - Beef Stick,3.0,0.74,1,2.26,75.3,direct
2026-01-01,The Bowen Freezer,SKU0334,Thelma's Ice Cream Sandwich Chocolate Chip 6oz,Thelma's Ice Cream Sandwich Chocolate Chip 6oz,Snack - Chips,6.0,3.13,1,2.87,47.8,direct
2026-01-01,The Bowen,SKU0349,Twix,Twix,Beverage - Energy,2.5,0.94,1,1.56,62.4,direct
2026-01-01,Goodwin,SKU0312,Sprite 16.9 oz,Sprite 16.9 oz,Snack - Beef Stick,3.0,0.74,1,2.26,75.3,direct
